temp_C,soc,days,reported,predicted,error_pct,in_dist_error_pct,edge_error_pct
0.0,0.5,0.0,1.0,1.0,0.0,0.0,
10.0,0.5,0.0,1.0,1.0,0.0,0.0,
25.0,0.0,0.0,1.0,1.0,0.0,0.0,
25.0,0.5,0.0,1.0,1.0,0.0,0.0,
25.0,1.0,0.0,1.0,1.0,0.0,0.0,
40.0,0.0,0.0,1.0,1.0,0.0,0.0,
40.0,0.125,0.0,1.0,1.0,0.0,0.0,
40.0,0.25,0.0,1.0,1.0,0.0,0.0,
40.0,0.375,0.0,1.0,1.0,0.0,0.0,
40.0,0.5,0.0,1.0,1.0,0.0,0.0,
40.0,0.625,0.0,1.0,1.0,0.0,0.0,
40.0,0.75,0.0,1.0,1.0,0.0,0.0,
40.0,0.875,0.0,1.0,1.0,0.0,0.0,
40.0,1.0,0.0,1.0,1.0,0.0,0.0,
60.0,0.0,0.0,1.0,1.0,0.0,,0.0
60.0,0.5,0.0,1.0,1.0,0.0,,0.0
60.0,1.0,0.0,1.0,1.0,0.0,,0.0
0.0,0.5,6.680416666666667,0.9984281787644116,0.9990468143541975,0.061960950516390986,0.061960950516390986,
10.0,0.5,6.680416666666667,0.997259097525909,0.9978244559992178,0.05669123247021101,0.05669123247021101,
25.0,0.0,6.680416666666667,1.002006720622933,0.9959427859772643,-0.6051790393081324,-0.6051790393081324,
25.0,0.5,6.680416666666667,0.997544256583167,0.9932379766287738,-0.4316881106752413,-0.4316881106752413,
25.0,1.0,6.680416666666667,0.989325855440494,0.989180762606038,-0.014665828620375035,-0.014665828620375035,
40.0,0.0,6.680416666666667,1.0021036463202886,0.9886876193696978,-1.338786362054885,-1.338786362054885,
40.0,0.125,6.680416666666667,1.0022097775775798,0.9886876193696978,-1.349234313056301,-1.349234313056301,
40.0,0.25,6.680416666666667,0.9971643616397688,0.9886876193696978,-0.8500847599618961,-0.8500847599618961,
40.0,0.375,6.680416666666667,0.9957232854972742,0.9886876193696978,-0.7065884900002767,-0.7065884900002767,
40.0,0.5,6.680416666666667,0.9976011011682716,0.9811460322828297,-1.649463785291705,-1.649463785291705,
40.0,0.625,6.680416666666667,0.9940638952475516,0.9811460322828297,-1.2995002661780535,-1.2995002661780535,
40.0,0.75,6.680416666666667,0.9881789614572724,0.9811460322828297,-0.7117060217585642,-0.7117060217585642,
40.0,0.875,6.680416666666667,0.9839995537470112,0.9698336516525276,-1.4396248494768873,-1.4396248494768873,
40.0,1.0,6.680416666666667,0.9857783140513358,0.9698336516525276,-1.6174693814554604,-1.6174693814554604,
60.0,0.0,6.680416666666667,0.9996582662779276,0.9615459426288853,-3.8125352367612284,,-3.8125352367612284
60.0,0.5,6.680416666666667,0.9854016728756138,0.9359099043814755,-5.022496902172965,,-5.022496902172965
60.0,1.0,6.680416666666667,0.9743588630010772,0.8974558470103607,-7.8926788589833405,,-7.8926788589833405
0.0,0.5,11.540833333333332,0.9982569528929536,0.9987471637734803,0.049106683314958585,0.049106683314958585,
