week_start,eur_mw_4h
2024-12-30,31.153000000000002
2025-01-06,44.42190476190476
2025-01-13,36.88357142857143
2025-01-20,41.31476190476191
2025-01-27,40.15761904761904
2025-02-03,34.29833333333333
2025-02-10,32.457857142857144
2025-02-17,40.977380952380955
2025-02-24,35.57214285714286
2025-03-03,62.031190476190474
2025-03-10,37.221666666666664
2025-03-17,67.80285714285715
2025-03-24,55.235
2025-03-31,81.26547619047619
2025-04-07,82.83309523809524
2025-04-14,85.03214285714286
2025-04-21,78.64071428571428
2025-04-28,98.66547619047618
2025-05-05,93.4452380952381
2025-05-12,139.9454761904762
2025-05-19,99.93071428571429
2025-05-26,78.1297619047619
2025-06-02,76.72714285714285
2025-06-09,66.6897619047619
2025-06-16,79.44047619047619
2025-06-23,98.3295238095238
2025-06-30,91.99880952380953
2025-07-07,71.86428571428571
2025-07-14,55.96666666666666
2025-07-21,55.13666666666666
2025-07-28,58.837857142857146
2025-08-04,71.36904761904762
2025-08-11,59.52142857142857
2025-08-18,68.18619047619048
2025-08-25,74.6854761904762
2025-09-01,58.807380952380946
2025-09-08,60.831428571428575
2025-09-15,88.43047619047618
2025-09-22,71.3104761904762
2025-09-29,66.74071428571429
2025-10-06,69.41309523809524
2025-10-13,50.44238095238095
2025-10-20,60.44238095238095
2025-10-27,58.81428571428571
2025-11-03,41.3352380952381
2025-11-10,34.15761904761905
2025-11-17,29.68309523809524
2025-11-24,43.293571428571425
2025-12-01,33.79714285714286
2025-12-08,30.05642857142857
2025-12-15,24.639285714285712
2025-12-22,21.055476190476192
2025-12-29,16.62
