week_start,eur_mw_4h
2024-01-01,64.57523809523809
2024-01-08,38.59880952380953
2024-01-15,32.409285714285716
2024-01-22,42.69619047619047
2024-01-29,38.493095238095236
2024-02-05,35.332857142857144
2024-02-12,25.679761904761904
2024-02-19,34.131190476190476
2024-02-26,27.475
2024-03-04,27.688809523809525
2024-03-11,27.992380952380955
2024-03-18,35.22904761904762
2024-03-25,47.73119047619048
2024-04-01,58.660000000000004
2024-04-08,93.0297619047619
2024-04-15,78.88619047619048
2024-04-22,66.60071428571429
2024-04-29,73.90095238095239
2024-05-06,76.67547619047619
2024-05-13,114.1047619047619
2024-05-20,91.37095238095237
2024-05-27,62.23642857142857
2024-06-03,116.11333333333334
2024-06-10,103.3797619047619
2024-06-17,108.955
2024-06-24,90.5552380952381
2024-07-01,103.15333333333332
2024-07-08,85.48095238095237
2024-07-15,80.0104761904762
2024-07-22,83.7804761904762
2024-07-29,72.8202380952381
2024-08-05,81.96619047619048
2024-08-12,75.93166666666667
2024-08-19,108.70142857142858
2024-08-26,81.365
2024-09-02,71.86357142857143
2024-09-09,74.98833333333334
2024-09-16,90.57880952380953
2024-09-23,87.4747619047619
2024-09-30,68.93642857142856
2024-10-07,62.319761904761904
2024-10-14,62.845000000000006
2024-10-21,47.58404761904762
2024-10-28,35.029761904761905
2024-11-04,51.1497619047619
2024-11-11,51.024523809523814
2024-11-18,44.731904761904765
2024-11-25,62.18071428571429
2024-12-02,45.048095238095236
2024-12-09,54.38095238095238
2024-12-16,52.78380952380952
2024-12-23,38.41642857142857
2024-12-30,52.81
