week_start,eur_mw_h
2024-12-30,6.664333333333333
2025-01-06,7.5652380952380955
2025-01-13,10.789285714285715
2025-01-20,9.420714285714286
2025-01-27,7.802499999999999
2025-02-03,8.320833333333335
2025-02-10,7.17952380952381
2025-02-17,10.156785714285714
2025-02-24,7.44547619047619
2025-03-03,12.434761904761904
2025-03-10,9.223928571428571
2025-03-17,14.983333333333333
2025-03-24,11.438095238095238
2025-03-31,15.749880952380952
2025-04-07,15.893095238095238
2025-04-14,13.802857142857144
2025-04-21,13.55190476190476
2025-04-28,31.847142857142856
2025-05-05,16.0225
2025-05-12,48.60821428571429
2025-05-19,22.19047619047619
2025-05-26,19.23297619047619
2025-06-02,21.07107142857143
2025-06-09,19.076666666666668
2025-06-16,20.886666666666667
2025-06-23,33.12083333333334
2025-06-30,25.520952380952384
2025-07-07,16.64845238095238
2025-07-14,12.370952380952382
2025-07-21,10.76797619047619
2025-07-28,9.2125
2025-08-04,14.375119047619048
2025-08-11,16.23488095238095
2025-08-18,15.221785714285712
2025-08-25,24.008690476190477
2025-09-01,23.11
2025-09-08,25.452142857142857
2025-09-15,38.63761904761905
2025-09-22,35.755
2025-09-29,26.160833333333336
2025-10-06,26.25
2025-10-13,22.15404761904762
2025-10-20,26.295119047619046
2025-10-27,17.149404761904762
2025-11-03,15.061190476190477
2025-11-10,12.073095238095238
2025-11-17,7.6276190476190475
2025-11-24,12.502619047619048
2025-12-01,12.793928571428571
2025-12-08,7.195
2025-12-15,6.245952380952381
2025-12-22,3.5778571428571433
2025-12-29,2.7030555555555558
